Year,President,Party,Events
1991,George Bush,Republican,"* January: Operation Desert Storm begins, initiating the Persian Gulf War's air campaign. US-led coalition attacks Iraqi forces in Kuwait, swiftly liberating the country and establishing a new post-Cold War military doctrine.

* February: The Provisional Irish Republican Army (IRA) launches a mortar attack on 10 Downing Street in London. The attack targeted Prime Minister John Major during a cabinet meeting, underscoring ongoing political violence in Northern Ireland.

* August 
      19: Soviet hardliners attempt a coup against Mikhail Gorbachev. The failed coup accelerated the collapse of the Soviet Union as resistance, led by Boris Yeltsin, demonstrated popular opposition to the old guard.

      24: Ukraine declares independence from the Soviet Union. This was a crucial step in the dissolution of the USSR, leading to widespread international recognition and cementing the end of Soviet control over former republics.

* December: The Soviet Union officially dissolves. Mikhail Gorbachev resigns, republics declare independence, and the USSR is formally disbanded,"
1992,George Bush,Republican,"* February: The Maastricht Treaty is signed, establishing the European Union. This landmark treaty laid the foundation for greater European political and economic integration, including the eventual creation of a common currency.

* April: The Los Angeles riots erupt after four LAPD officers are acquitted in the beating of Rodney King. Widespread unrest, violence, and looting rocked the city, exposing deep racial tensions and social injustices in America.

* June: The Earth Summit (UNCED) begins in Rio de Janeiro, Brazil. This landmark UN conference on Environment and Development brought together world leaders to address global environmental issues and sustainable development.

* November: Bill Clinton is elected President of the United States. His victory ended 12 years of Republican presidential rule, ushering in an era of centrist Democratic policies and focusing on domestic issues.

* December: The UN Security Council authorizes Operation Restore Hope in Somalia. US-led forces deploy to ensure humanitarian aid delivery amidst widespread famine and civil conflict, a major international intervention."
1993,Bill Clinton,Democratic,"* January: Czechoslovakia peacefully dissolves into the Czech Republic and Slovakia (the ""Velvet Divorce"").

* February: A bomb explodes in the World Trade Center parking garage in New York City. This first major terrorist attack on the WTC killed six and injured over a thousand, foreshadowing future threats and escalating concerns about domestic and international terrorism.

* August: NASA's Galileo spacecraft makes its final flyby of Earth, heading towards Jupiter. This successful mission offered new insights into Venus and Earth and prepared for its ultimate exploration of the Jovian system.

* September: The Oslo Accords are signed between Israel and the Palestine Liberation Organization (PLO). This historic agreement, signed on the White House lawn, marked a significant step towards Israeli-Palestinian peace, establishing principles for self-government in the Palestinian territories.

* October: The Battle of Mogadishu (""Black Hawk Down"") occurs in Somalia. US Army Rangers and Delta Force engage in intense urban combat, resulting in significant casualties and leading to a reassessment of US military intervention strategies."
1994,Bill Clinton,Democratic,"* January: NAFTA comes into effect. This major trade agreement eliminated most tariffs between Canada, Mexico, and the U.S., profoundly reshaping North American economies.

* April 
      7: The Rwandan Genocide begins. Systematic massacres of Tutsis and moderate Hutus commenced, leading to an estimated 800,000 deaths and a horrific humanitarian crisis.

      27: South Africa holds its first multiracial democratic elections; Nelson Mandela is elected president. This monumental event marked the official end of apartheid and ushered in a new era of democracy.

* May: The Channel Tunnel (the ""Chunnel"") officially opens. This engineering marvel created a direct rail link between the UK and France, revolutionizing travel and trade."
1995,Bill Clinton,Democratic,"* January: The World Trade Organization (WTO) is established. This new body replaced GATT, formalizing global trade rules and profoundly impacting international commerce.

* March: The Aum Shinrikyo cult carries out a sarin gas attack on the Tokyo subway. This horrific act of domestic terrorism shocked Japan and raised global awareness of chemical weapons threats.

* April: The Oklahoma City bombing occurs. This act of domestic terrorism killed 168 people, leading to heightened security measures and national debate over extremism in the US.

* November: Israeli Prime Minister Yitzhak Rabin is assassinated. His murder by a right-wing Israeli extremist severely impacted the Israeli-Palestinian peace process."
1996,Bill Clinton,Democratic,"* January: Yasser Arafat is elected President of the Palestinian Authority. This was a key step in Palestinian self-determination and the peace process established by the Oslo Accords.

 * February: Garry Kasparov loses the first game to IBM's Deep Blue computer. This marked a significant moment in AI development, as a computer beat the reigning world chess champion for the first time.

* July 
      5: Dolly the sheep is born, the first mammal cloned from an adult cell. This groundbreaking scientific achievement revolutionized biology and sparked widespread ethical debates.

      17: TWA Flight 800 explodes off Long Island, killing all 230 on board. This tragic aviation disaster led to extensive investigations and heightened airline safety scrutiny.

      27: The Centennial Olympic Park bombing occurs in Atlanta during the Summer Olympics. This act of domestic terrorism disrupted the global event, leading to increased security measures at large public gatherings."
1997,Bill Clinton,Democratic,"* January: The Dow Jones Industrial Average closes above 7,000 for the first time. This milestone reflected the booming US economy and growing investor optimism during the dot-com era.

* May 
      1: Tony Blair becomes Prime Minister of the United Kingdom as Labour wins a landslide election. His victory ended 18 years of Conservative rule, ushering in the ""New Labour"" era with significant political and social reforms.

      11: IBM's Deep Blue chess computer defeats Garry Kasparov in a six-game rematch. This marked the first time a computer beat a reigning world chess champion in a match, a significant milestone in artificial intelligence.

* July: Hong Kong is handed over from British to Chinese rule. This historic transfer of sovereignty marked the end of British colonialism and the beginning of ""One Country, Two Systems"" for Hong Kong.

* August: Diana, Princess of Wales, dies in a car crash in Paris. Her sudden death triggered an unprecedented outpouring of public grief worldwide and profoundly impacted the British monarchy."
1998,Bill Clinton,Democratic,"* January: The Lewinsky scandal breaks, with President Bill Clinton denying ""sexual relations."" This initiated an impeachment inquiry that dominated US politics and heavily scrutinized the presidency.

* April 
      10: The Good Friday Agreement is signed in Belfast, Northern Ireland. This historic peace accord largely ended the violence of ""The Troubles,"" establishing a power-sharing government.

      7: U.S. embassies in Kenya and Tanzania are bombed by al-Qaeda. These coordinated terrorist attacks killed over 200, marking a significant escalation of al-Qaeda's global threat.

* September: Google Inc. is formally incorporated. This event marked the official start of a company that would revolutionize internet search and information access.

* November: The International Space Station (ISS) begins construction with the launch of its first module, Zarya. This initiated the largest international scientific collaboration in space, aiming for long-term human presence."
1999,Bill Clinton,Democratic,"* January: The Euro currency is introduced for financial transactions. This monumental step created a single currency zone for 11 EU members, profoundly impacting global finance and trade.

* March 
      12: Former Warsaw Pact members Hungary, Poland, and the Czech Republic join NATO. This expansion marked a significant shift in European security, integrating former Soviet bloc nations into the Western alliance.

      24: NATO begins its air campaign against Yugoslavia over Kosovo. This was NATO's first major military intervention against a sovereign state without UN approval, aimed at stopping ethnic cleansing.

* April: The Columbine High School massacre occurs in Littleton, Colorado. This tragic school shooting killed 13, sparking intense national debates on gun control, school safety, and youth violence.

* December: Russian President Boris Yeltsin unexpectedly resigns, naming Vladimir Putin as acting president. This surprise marked a pivotal moment in Russia's post-Soviet history, ushering in the era of Vladimir Putin."
2000,Bill Clinton,Democratic,"* March 
      10: The dot-com bubble bursts, as the NASDAQ Composite Index peaks and then rapidly declines. This marked the end of a period of intense speculation in internet companies, leading to significant economic losses and a restructuring of the technology sector.

      25: Vladimir Putin is formally elected President of Russia. His election solidified his power, ushering in a new era for post-Soviet Russia with long-term implications for its domestic and foreign policy.

* June: The Human Genome Project announces the completion of a ""working draft"" of the human genome. This monumental scientific achievement provided a foundational map for understanding human biology and disease, revolutionizing medicine and biotechnology.

* July: Air France Flight 4590, a Concorde jet, crashes shortly after takeoff from Paris. This devastating accident killed all 109 on board and four on the ground, leading to the grounding of the Concorde fleet and ultimately contributing to its retirement.

* November: The U.S. presidential election results in a disputed outcome between George W. Bush and Al Gore. The extremely close election, particularly in Florida, led to recounts and legal battles that ultimately reached the Supreme Court, exposing deep political divisions."
2001,George W. Bush,Republican,"* January: Wikipedia is launched. This online encyclopedia rapidly grew into the world's largest and most popular reference work, revolutionizing information access and collaborative content creation.

* April: A U.S. Navy EP-3E ARIES II surveillance aircraft collides with a Chinese J-8II fighter jet over the South China Sea. The incident led to a tense standoff and damaged U.S.-China relations.

* September 11: Al-Qaeda terrorists hijack four commercial airplanes, crashing two into the World Trade Center in NYC, one into the Pentagon, and one in a field in Pennsylvania. These attacks killed nearly 3,000 people, launching the ""War on Terror"" and fundamentally reshaping global security, foreign policy, and domestic life.

* October: The U.S. and its allies launch military operations in Afghanistan. This began the war in Afghanistan, aimed at dismantling Al-Qaeda and overthrowing the Taliban regime, a direct response to 9/11.

* December: Enron Corporation files for bankruptcy. This massive corporate collapse exposed widespread accounting fraud, leading to major reforms in corporate governance and auditing practices, and significantly impacting public trust in large corporations."
2002,George W. Bush,Republican,"* January 
      1: The Euro officially becomes the currency of twelve European Union member states. Euro banknotes and coins were introduced, completing a monumental step in European integration, simplifying trade and travel across the eurozone.

      29: U.S. President George W. Bush uses the phrase ""axis of evil"" in his State of the Union address. This term, referring to Iraq, Iran, and North Korea, significantly impacted U.S. foreign policy rhetoric and escalated tensions with these nations.

* March: The first U.S. troops deploy to Afghanistan for Operation Anaconda, a major ground offensive against al-Qaeda and Taliban forces. This marked an escalation of direct combat involvement in the war.

* October: Terrorist bombings at two nightclubs in Bali, Indonesia, kill 202 people, mostly foreign tourists. 

* November: U.S. President George W. Bush signs the Homeland Security Act, creating the Department of Homeland Security. This massive reorganization of federal agencies was a direct response to 9/11, aimed at enhancing national security and counter-terrorism efforts."
2003,George W. Bush,Republican,"* February: The Space Shuttle Columbia disintegrates upon re-entry, killing all seven astronauts. This second shuttle disaster grounded the fleet, led to extensive investigations, and further reshaped NASA's human spaceflight program, impacting future missions.

* March: The United States, with allies, invades Iraq. This invasion, based on claims of weapons of mass destruction and links to terrorism, initiated the Iraq War, overthrowing Saddam Hussein's regime.

* April: Baghdad falls to U.S. forces. The toppling of Saddam Hussein's statue in Firdos Square symbolized the end of his regime, marking a significant milestone in the early stages of the Iraq War.

* June (natural occurrence): The World Health Organization (WHO) issues a global alert about SARS (Severe Acute Respiratory Syndrome). This marked the first severe global pandemic of the 21st century, demonstrating the rapid spread of novel viruses and highlighting the need for international health cooperation.

* December: Saddam Hussein is captured by U.S. forces near Tikrit, Iraq. The capture of the former Iraqi dictator marked a significant moment in the Iraq War, ending a prolonged manhunt and providing a sense of closure for many."
2004,George W. Bush,Republican,"* February: Facebook is launched by Mark Zuckerberg. This social networking platform rapidly grew to billions of users, profoundly transforming online communication, social interaction, and digital advertising globally.

* March: Ten bombs explode on commuter trains in Madrid, Spain, killing 192 people. 

* May: Ten new member states, mostly from Central and Eastern Europe, join the European Union. This ""big bang"" enlargement significantly expanded the EU's geographical and economic reach, marking a major step in post-Cold War European integration.

* November: George W. Bush is re-elected U.S. President. His victory secured his second term, allowing him to continue his ""War on Terror"" policies and shape American domestic and foreign policy amidst ongoing conflicts in Iraq and Afghanistan."
2005,George W. Bush,Republican,"* January: The European Space Agency's Huygens probe lands on Saturn's moon Titan. 

* February: Lebanon's former Prime Minister Rafic Hariri is assassinated in Beirut. This high-profile assassination sparked widespread protests (""Cedar Revolution"") and led to the withdrawal of Syrian troops from Lebanon after nearly 30 years.

* April: Cardinal Joseph Ratzinger is elected Pope Benedict XVI. His election marked a significant moment for the Catholic Church after the long papacy of John Paul II, leading the Church through a period of theological traditionalism and addressing the ongoing clergy abuse crisis.

* July: A series of terrorist bombings strike London's public transport system, killing 52 people. These coordinated attacks, carried out by Islamist extremists, shocked the UK, highlighting the threat of homegrown terrorism and leading to increased counter-terrorism measures."
2006,George W. Bush,Republican,"* January: Ariel Sharon, Prime Minister of Israel, suffers a severe stroke and falls into a coma. This event led to his political incapacitation and the rise of Ehud Olmert, significantly impacting Israeli politics and the country's approach to the Israeli-Palestinian conflict.

* March: Twitter is launched. This microblogging platform rapidly grew into a major global communication tool, transforming social media, news dissemination, and public discourse.

* October: North Korea conducts its first nuclear weapons test. This marked a dangerous escalation in nuclear proliferation, drawing widespread international condemnation and increasing tensions in East Asia.

* November: Democrats regain control of both the U.S. House and Senate in midterm elections. This shift in political power reflected public dissatisfaction with the Iraq War and domestic policies, setting the stage for increased legislative challenges to the Bush administration.

* December: Saddam Hussein, former Iraqi dictator, is executed. His execution, following his conviction for crimes against humanity, marked a significant and controversial event in post-invasion Iraq, bringing a symbolic end to his era but also fueling sectarian tensions."
2007,George W. Bush,Republican,"* January 
      9: Apple introduces the iPhone. 

      27: Tony Blair resigns as Prime Minister of the United Kingdom, succeeded by Gordon Brown. This ended a decade of ""New Labour"" rule, marking a transition in British political leadership.

* September: Japan's Prime Minister Shinzo Abe resigns. His sudden resignation amid political scandals led to leadership instability in Japan, impacting its domestic policy and international standing.

* November: The MV African Pride oil tanker runs aground off the coast of South Korea, causing a major oil spill. This environmental disaster caused extensive coastal pollution and significant economic damage, highlighting risks of maritime transport."
2008,George W. Bush,Republican,"* February: Kosovo declares its independence from Serbia. This unilateral declaration was recognized by many Western nations but rejected by Serbia and its allies, leading to ongoing international diplomatic disputes and regional instability.

* August: The Russo-Georgian War begins. Russia invades Georgia following a conflict over South Ossetia, demonstrating Russia's willingness to use military force against former Soviet republics and escalating tensions with the West.

* September: Lehman Brothers files for bankruptcy, marking a critical point in the global financial crisis. This massive financial collapse triggered a cascade of events that plunged the global economy into a severe recession, leading to government bailouts, widespread unemployment, and major financial reforms.

* October: The Dow Jones Industrial Average experiences its worst day since 1987, reflecting the deepening financial crisis. This market plunge highlighted the severity of the economic downturn and heightened global anxieties.

* November: Barack Obama is elected the first African American President of the United States. His historic victory broke racial barriers in American politics and inspired hope for change, ushering in a new era of political leadership in the US."
2009,Barack Obama,Democratic,"* January: Barack Obama is inaugurated as U.S. President. His inauguration marked a historic moment for racial equality and ushered in an era of major policy initiatives, including economic stimulus and healthcare reform, amidst a severe financial crisis.

* February: The American Recovery and Reinvestment Act (ARRA) is signed into law. This massive economic stimulus package was designed to combat the Great Recession, injecting billions into the U.S. economy through infrastructure, aid, and tax cuts.

* April: The World Health Organization declares a Public Health Emergency of International Concern due to the H1N1 influenza pandemic. This marked the first such declaration in the 21st century, highlighting the threat of global pandemics and prompting coordinated international health responses.

* June: Michael Jackson, the ""King of Pop,"" dies. His sudden death shocked the world and led to an immense outpouring of grief, reflecting his unparalleled impact on music, dance, and popular culture globally.

* October: The United States loses its bid to host the 2016 Summer Olympics in Chicago. This defeat highlighted challenges in international political influence and domestic support for large-scale global events."
2010,Barack Obama,Democratic,"* January (natural occurrence): A devastating earthquake (magnitude 7.0) strikes Haiti, killing hundreds of thousands. This catastrophic natural disaster caused immense human suffering and widespread destruction, highlighting Haiti's vulnerability and prompting a massive, though often criticized, international humanitarian response.

* April (natural opccurrence): The Deepwater Horizon oil rig explodes in the Gulf of Mexico, causing a massive oil spill. This environmental disaster became the largest marine oil spill in history, causing extensive ecological damage, impacting industries, and leading to major reforms in offshore drilling regulations.

* May: The ""Flash Crash"" occurs on the U.S. stock market. A sudden and rapid stock market decline, quickly followed by a rebound, exposed vulnerabilities in high-frequency trading and electronic markets, leading to new regulatory measures.

* July: BP announces it has permanently sealed the Deepwater Horizon well. This marked the end of the active oil spill, but cleanup efforts and legal battles continued for years, underscoring the long-term consequences of environmental disasters.

* December: Mohamed Bouazizi, a street vendor in Tunisia, self-immolates, sparking the Tunisian Revolution. This act of protest against corruption and oppression ignited the ""Arab Spring"" uprisings across the Middle East and North Africa, leading to widespread political change and instability."
2011,Barack Obama,Democratic,"* January 
      1: The European Union introduces the euro as currency in Estonia. This marked Estonia's entry into the eurozone, expanding the common currency bloc.

      14: The Tunisian Revolution culminates with President Zine El Abidine Ben Ali fleeing the country. This marked the first successful uprising of the Arab Spring, inspiring similar movements across the region.

* March: A magnitude 9.1 earthquake and tsunami strike Japan. The disaster caused widespread devastation, leading to the Fukushima Daiichi nuclear accident and a massive humanitarian crisis.

* May: Osama bin Laden, leader of al-Qaeda, is killed by U.S. Navy SEALs in Pakistan. His death marked a significant victory in the War on Terror, delivering a major blow to the terrorist organization.

* October: Libyan leader Muammar Gaddafi is killed in Sirte. His death, following months of civil war, marked the end of his four-decade rule in Libya, but led to ongoing instability."
2012,Barack Obama,Democratic,"* July: The Large Hadron Collider (LHC) experiments announce the discovery of a new particle consistent with the Higgs boson. This monumental scientific discovery confirmed a cornerstone of the Standard Model of particle physics.

* August: NASA's Curiosity rover lands on Mars. This advanced robotic mission began exploring Mars, sending back high-resolution images and data to search for signs of past microbial life.

* December: The alleged ""end of the Mayan calendar"" passes without global catastrophe. This date, widely publicized due to misinterpretations, highlighted societal fascinations with apocalyptic prophecies."
2013,Barack Obama,Democratic,"* February 
      15: A meteor explodes over Chelyabinsk, Russia, injuring over 1,000 people. This unexpected event highlighted the threat of asteroid impacts and the need for planetary defense systems.

      28: Pope Benedict XVI resigns, the first pope to do so in almost 600 years. His unprecedented resignation paved the way for the election of Pope Francis and marked a significant moment for the Catholic Church.

* March: Cardinal Jorge Mario Bergoglio is elected Pope Francis. He became the first pope from the Americas, the first from the Southern Hemisphere, and the first Jesuit pope, ushering in an era of reform and a focus on social justice for the Catholic Church.

* April: Two bombs explode near the finish line of the Boston Marathon. The terrorist attack killed 3 and injured hundreds, leading to a massive manhunt and raising concerns about domestic terrorism in the U.S.

* November: India launches its Mars Orbiter Mission (Mangalyaan). This made India the fourth entity to reach Mars orbit, showcasing its growing capabilities in space exploration."
2014,Barack Obama,Democratic,"* February: The 2014 Winter Olympics open in Sochi, Russia. These games, amidst controversy over cost and human rights, showcased athletic competition and brought global attention to Russia.

* March: Malaysia Airlines Flight 370 disappears during a flight from Kuala Lumpur to Beijing. The mysterious disappearance sparked one of the largest and most extensive search operations in aviation history, with no confirmed wreckage found.

* July 
      8: Israel launches Operation Protective Edge in Gaza. This military offensive led to significant casualties and destruction, escalating the Israeli-Palestinian conflict and drawing international condemnation.

      17: Malaysia Airlines Flight 17 is shot down over eastern Ukraine. The civilian airliner, hit by a missile, killed all 298 on board, leading to international outrage and intensifying geopolitical tensions surrounding the conflict in Ukraine.

* October: Brazil's President Dilma Rousseff is re-elected for a second term. Her victory highlighted ongoing political and economic divisions in Brazil."
2015,Barack Obama,Democratic,"* January: The Charlie Hebdo terrorist attack occurs in Paris, France. Islamist gunmen stormed the satirical magazine's office, killing 12 people, sparking global debates on freedom of speech, religion, and terrorism.

* March: NASA's Dawn spacecraft enters orbit around Ceres. This marked the first time a spacecraft orbited a dwarf planet, providing unprecedented insights into the largest object in the asteroid belt.

* July: NASA's New Horizons spacecraft performs a flyby of Pluto. This historic mission provided the first-ever close-up images and data of Pluto and its moons, completing humanity's initial reconnaissance of the classical solar system planets.

* July: The United States and Cuba restore full diplomatic relations. This historic rapprochement ended over 50 years of Cold War-era estrangement, signaling a new era of engagement between the two countries.

* November: A series of coordinated terrorist attacks strike Paris, France. ISIS-affiliated terrorists killed 130 people in multiple locations, becoming France's deadliest attack since WWII and leading to heightened security measures across Europe."
2016,Barack Obama,Democratic,"* April: The Paris Agreement on climate change is signed by 175 countries at the UN. This landmark international treaty aimed at limiting global warming entered into force later that year, representing a major global effort to combat climate change.

* June: The United Kingdom votes to leave the European Union in the ""Brexit"" referendum. This historic decision led to years of political turmoil and negotiations, fundamentally reshaping the UK's relationship with Europe and impacting global politics and economics.

* July: A terrorist drives a truck into crowds celebrating Bastille Day in Nice, France, killing 86 people. This attack, claimed by ISIS, highlighted the evolving nature of extremist violence and the challenges of preventing such incidents.

* August: The 2016 Summer Olympics open in Rio de Janeiro, Brazil. These games were the first to be held in South America, showcasing athletic competition and drawing global attention to Brazil amidst political and economic challenges.

* November: Donald Trump is elected President of the United States. His victory marked a significant shift in American politics, ushering in an era of populist nationalism and fundamentally altering global relations and domestic policy."
2017,Donald Trump,Republican,"* January: Donald Trump is inaugurated as U.S. President. His inauguration ushered in a period of significant policy changes, including withdrawals from international agreements and a focus on ""America First"" foreign policy.

* March: The United Kingdom formally triggers Article 50, beginning the Brexit process. This initiated the two-year period for the UK to negotiate its withdrawal from the European Union, leading to intense political and economic uncertainty.

* October: A mass shooting at a music festival in Las Vegas kills 60 people. This became the deadliest mass shooting by a single gunman in modern U.S. history, sparking renewed debates on gun control.

* December 
      5: The International Olympic Committee bans Russia from the 2018 Winter Olympics due to a doping scandal. This unprecedented decision severely impacted Russian sports and highlighted systemic doping issues in international athletics.

      18: Disney announces it will acquire most of 21st Century Fox's assets for $52.4 billion. This massive media merger profoundly impacted the entertainment industry, consolidating major film and television properties."
2018,Donald Trump,Republican,"* January: Larry Nassar, former USA Gymnastics team doctor, is sentenced to up to 175 years in prison for sexual abuse. This high-profile sentencing brought widespread attention to institutional abuse and empowered victims, leading to significant changes in sports governance.

* March: Stephen Hawking, renowned theoretical physicist, dies. His death marked the loss of one of the most brilliant scientific minds of the modern era, leaving a legacy of groundbreaking work on black holes and cosmology.

* June: U.S. President Donald Trump and North Korean leader Kim Jong Un hold a historic summit in Singapore. This unprecedented meeting was the first time a sitting U.S. president met with a North Korean leader, aiming to de-escalate nuclear tensions.

* July: Thai cave rescue: All 12 boys and their soccer coach are successfully rescued from a flooded cave. This dramatic international rescue operation captivated the world, showcasing extraordinary human ingenuity and cooperation.

* October: Lion Air Flight 610 crashes in Indonesia, killing all 189 on board. This and a subsequent Boeing 737 MAX crash led to a global grounding of the aircraft and intense scrutiny of Boeing's design and certification processes."
2019,Donald Trump,Republican,"* January: China's Chang'e 4 spacecraft successfully lands on the far side of the Moon. This marked the first-ever soft landing on the Moon's unexplored far side, a significant milestone in space exploration and China's growing space program.

* April 
      10: Scientists unveil the first-ever image of a black hole. This groundbreaking image, captured by the Event Horizon Telescope, provided visual evidence of a black hole, confirming a key prediction of Einstein's theory of relativity.

      15: A massive fire severely damages Notre-Dame Cathedral in Paris. The fire caused extensive destruction to the iconic landmark, sparking global grief and a massive international effort to restore the historic cathedral.

* June: Widespread pro-democracy protests begin in Hong Kong. Millions of citizens demonstrated against a proposed extradition bill, evolving into a broader movement for democratic freedoms and challenging Beijing's authority.

* December: A novel coronavirus (later named SARS-CoV-2) is identified in Wuhan, China. This marked the beginning of what would become the COVID-19 pandemic, profoundly impacting global health, economies, and societies for years to come."
2020,Donald Trump,Republican,"* January 
      3: Qasem Soleimani, Iranian general, is killed in a U.S. drone strike in Baghdad. His assassination significantly escalated tensions between the U.S. and Iran, raising fears of a broader conflict in the Middle East.

      30: The World Health Organization (WHO) declares the COVID-19 outbreak a Public Health Emergency of International Concern. This declaration signaled the escalating global threat of the novel coronavirus, prompting widespread alarm and initial containment efforts.

* March: The World Health Organization (WHO) officially declares COVID-19 a pandemic. This declaration acknowledged the global spread and severity of the virus, leading to unprecedented lockdowns, travel restrictions, and health crises worldwide that fundamentally reshaped daily life, economies, and healthcare systems.

* May: George Floyd is murdered by a police officer in Minneapolis, Minnesota. His death, captured on video, sparked widespread Black Lives Matter protests against racial injustice and police brutality across the U.S. and globally, leading to major social and political reckoning.

* November: Joe Biden is elected President of the United States. His victory ended Donald Trump's presidency, signaling a shift in American political leadership and policy priorities both domestically and internationally."
2021,Joe Biden,Democratic,"* January 
      6: Citizens storm the U.S. Capitol. This unprecedented attack sought to overturn the 2020 election results. 

      20: Joe Biden is inaugurated as the 46th U.S. President. His inauguration signaled a shift in U.S. domestic and foreign policy after the Trump administration.

* March: The Ever Given container ship gets stuck in the Suez Canal. The incident disrupted global trade for nearly a week, highlighting vulnerabilities in supply chains.

* April: NASA's Ingenuity helicopter performs the first powered flight on another planet. Part of the Mars 2020 mission, this marked a significant milestone in extraterrestrial aviation.

* August: The United States withdraws its last troops from Afghanistan; the Taliban quickly seize control of Kabul. This ended a 20-year war, resulting in a rapid collapse of the Afghan government and a humanitarian crisis."
2022,Joe Biden,Democratic,"* February 
      4: The 2022 Winter Olympics open in Beijing, China. These games faced diplomatic boycotts over human rights concerns, but showcased athletic competition on a global stage.

      24: Russia launches a full-scale invasion of Ukraine. This major escalation of conflict triggered Europe's largest war since WWII, leading to massive displacement, sanctions, and global geopolitical shifts.

* June: The U.S. Supreme Court overturns Roe v. Wade. This ruling eliminated the constitutional right to abortion, returning authority to individual states and sparking widespread protests and legal battles.

* September: Queen Elizabeth II dies at age 96, after 70 years on the throne. Her passing marked the end of an era for the United Kingdom and the Commonwealth, leading to King Charles III's ascension.

* November: The world population officially reaches 8 billion people. This demographic milestone highlighted global challenges and opportunities related to resources, environment, and development."
2023,Joe Biden,Democratic,"* May: The WHO ends its declaration of COVID-19 being a global health emergency. This marked a significant turning point in the pandemic, signaling a move towards managing the virus as an ongoing health threat.

* August: India's Chandrayaan-3 becomes the first spacecraft to land near the Moon's south pole. This historic achievement made India the fourth country to successfully land on the Moon and expanded lunar exploration.

* October: Hamas launches a major attack on Israel, killing over 1,100 and taking hostages. This initiated a significant escalation of the Israeli-Palestinian conflict, leading to Israel's military response in Gaza and a humanitarian crisis.

* November: U.S. President Joe Biden and Chinese President Xi Jinping hold a summit in San Francisco. The meeting aimed to cool tensions and explore cooperation, seeking to manage the strategic competition between the two global powers."
2024,Joe Biden,Democratic,"* February: Alexei Navalny, Russian opposition leader, dies in prison. His death under mysterious circumstances sparked international condemnation and highlighted the severe repression of dissent in Russia.

* March: The Francis Scott Key Bridge in Baltimore, Maryland, collapses after being struck by a container ship. The catastrophic bridge collapse caused fatalities, disrupted shipping, and had significant economic implications for the region.

* April: Iran launches hundreds of drones and missiles directly at Israel. This unprecedented direct military confrontation between Iran and Israel significantly escalated regional tensions in the Middle East.

* July: The 2024 Summer Olympics open in Paris, France. These games, hosted in a major European capital, showcased athletic competition and brought global attention to France.

* November: Donald Trump is elected U.S. President for a second nonconsecutive term. His victory marked a significant and historic shift in American politics, impacting global alliances and domestic policies."
